Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Magnetic Field,Acceleration,Orientation,Image file,Image type,sunlight
70,2022-04-24 17:49:03.171799,50.70894833586181,-164.5947406808179,27.5042,50.9149,1009.2859,"10.01416301727295,-11.362322807312012,27.65889549255371","0.015859998762607574,-0.004635999910533428,-0.008051999844610691","291.1711387148385,226.527503164359,244.49934279530666",/home/pi/msl/weeagles/photo_070.jpg,day,Yes
71,2022-04-24 17:49:51.559647,51.284003099912674,-159.8814698808784,27.4466,50.7494,1009.2026,"9.573354721069336,-11.272065162658691,28.852497100830078","0.017324000597000122,-0.0056119998916983604,-0.007563999854028225","294.01736050425285,226.27537356133715,250.94845522095687",/home/pi/msl/weeagles/photo_071.jpg,day,Yes
72,2022-04-24 17:50:39.856139,51.64568877361328,-155.1155754800785,27.1234,50.967,1009.2102,"8.740692138671875,-11.506600379943848,29.459821701049805","0.01439599972218275,-0.004391999915242195,-0.006831999868154526","298.54322143322173,220.21400414467936,262.4481168774272",/home/pi/msl/weeagles/photo_072.jpg,day,Yes
73,2022-04-24 17:51:28.645838,51.794899935834366,-150.28410898999783,27.0669,51.0436,1009.2134,"7.991539478302002,-11.52959156036377,30.313907623291016","0.014883999712765217,-0.00634399987757206,-0.009271999821066856","302.8040232110699,215.67884049806094,266.78880454780784",/home/pi/msl/weeagles/photo_073.jpg,day,Yes
74,2022-04-24 17:52:17.327481,51.727282881565436,-145.41861108660925,27.2174,50.9977,1009.2219,"7.346917152404785,-11.373046875,31.135086059570312","0.01781199872493744,-0.0056119998916983604,-0.007319999858736992","299.8326723560609,220.50956009044415,267.8837999849768",/home/pi/msl/weeagles/photo_074.jpg,day,Yes
75,2022-04-24 17:53:05.390738,51.443414279168074,-140.60130342944896,27.3784,51.0038,1009.2239,"6.591454982757568,-11.05429744720459,31.954505920410156","0.016835998743772507,-0.005367999896407127,-0.008539999835193157","300.32758103313085,224.40987131408824,263.91717445468106",/home/pi/msl/weeagles/photo_075.jpg,day,Yes
76,2022-04-24 17:53:53.885017,50.94943466649133,-135.87857320073243,26.9436,51.0743,1009.189,"5.979018688201904,-10.831066131591797,32.67680740356445","0.015371999703347683,-0.007075999863445759,-0.008051999844610691","300.57589939059585,221.1420902491007,270.14481116630446",/home/pi/msl/weeagles/photo_076.jpg,day,Yes
77,2022-04-24 17:54:42.217460,50.254685338384554,-131.28985883805024,27.2906,50.9609,1009.2344,"5.160298824310303,-10.786657333374023,32.861690521240234","0.01756799966096878,-0.006587999872863293,-0.007563999854028225","296.18263292398444,225.44883870949556,267.5260005253057",/home/pi/msl/weeagles/photo_077.jpg,day,Yes
78,2022-04-24 17:55:30.426219,49.371052628505325,-126.86677986980976,27.4895,50.9854,1009.2593,"4.505573749542236,-10.533207893371582,33.39056396484375","0.016103999689221382,-0.003903999924659729,-0.008051999844610691","294.51995997432823,232.97800211841073,264.7204456822096",/home/pi/msl/weeagles/photo_078.jpg,day,Yes
79,2022-04-24 17:56:19.194720,48.30585824629815,-122.60926545210538,27.1881,51.528,1009.1821,"3.841282606124878,-10.497106552124023,33.90191650390625","0.01781199872493744,-0.00634399987757206,-0.00634399987757206","292.6815189365709,237.37388454747426,261.82934954994823",/home/pi/msl/weeagles/photo_079.jpg,day,Yes
80,2022-04-24 17:57:07.301661,47.07395180707491,-118.54333721390898,27.2705,50.7371,1009.2285,"2.8493292331695557,-10.306790351867676,34.309539794921875","0.018300000578165054,-0.006831999868154526,-0.008539999835193157","293.1500494230663,230.87816974111703,262.9093185709431",/home/pi/msl/weeagles/photo_080.jpg,day,Yes
81,2022-04-24 17:57:55.850599,45.68766984583352,-114.67390189965025,27.4041,51.0651,1009.2546,"1.9301952123641968,-10.109521865844727,34.508995056152344","0.014883999712765217,-0.0056119998916983604,-0.00878399983048439","294.2794963344088,236.78730790155356,260.37876080421006",/home/pi/msl/weeagles/photo_081.jpg,day,Yes
82,2022-04-24 17:58:44.317717,44.163441333095925,-111.01023673238102,27.2852,50.6605,1009.2512,"0.9866282939910889,-10.25442886352539,34.38728332519531","0.017324000597000122,-0.0056119998916983604,-0.007319999858736992","294.98872951744454,235.07003441967225,267.6338218915435",/home/pi/msl/weeagles/photo_082.jpg,day,Yes
83,2022-04-24 17:59:32.662143,42.518384128258916,-107.55496386249202,27.423,50.9486,1009.2136,"-0.22503991425037384,-10.78842830657959,34.352989196777344","0.016103999689221382,-0.004879999905824661,-0.007319999858736992","295.19142221125384,244.2152342465908,261.59353726885354",/home/pi/msl/weeagles/photo_083.jpg,day,Yes
84,2022-04-24 18:00:21.013597,40.76705794455621,-104.3006850645817,27.4391,50.6176,1009.2302,"-1.320081353187561,-10.619586944580078,33.90596389770508","0.01659199967980385,-0.004635999910533428,-0.008051999844610691","294.6787687027202,243.63768711075286,265.8073405150229",/home/pi/msl/weeagles/photo_084.jpg,day,Yes
85,2022-04-24 18:01:09.340626,38.914418231431384,-101.22331885235354,27.3218,50.7034,1009.2192,"-2.290733575820923,-10.642929077148438,33.6818962097168","0.014883999712765217,-0.003903999924659729,-0.008051999844610691","296.5714346122983,235.7731750739684,262.9034992497703",/home/pi/msl/weeagles/photo_085.jpg,day,Yes
